nome_aula,youtube_id,ordem
Bem vindo(a)! · curso.dev,tzGQoi2KV04,1
Como estão organizadas as aulas · curso.dev,DvMwvb0jABQ,2
Pista Rápida e Pista Lenta · curso.dev,FQ6wGTal_F0,3
🚗 Pista Rápida Dia 2 · curso.dev,KMSRBEwoMok,4
Git GitHub É tudo a mesma coisa · curso.dev,1VH2qN5O6gA,5
Repositório onde tudo começa · curso.dev,NweFU3OExFg,6
Ambiente de Desenvolvimento · curso.dev,GjwUOpnKTy4,7
🚗 Pista Rápida Dia 3 · curso.dev,Ry9CEAI3-EU,8
A fundação · curso.dev,ljD9YuioMB8,9
A primeira parede · curso.dev,RqZMi7fHa14,10
🚗 Pista Rápida Dia 4 · curso.dev,w_1Ei0TDMVk,11
Protocolos e rodando o site de forma local · curso.dev,Jup9qQNr-RU,12
Página inicial · curso.dev,u67CEjhz0MU,13
Um desafio importante · curso.dev,KK9rZAGPmMo,14
🚗 Pista Rápida Dia 5 · curso.dev,9JmebI3JSYI,15
Onde fica o Git E como era feito antes disso · curso.dev,A7k3YW1cj3w,16
Git Log (e o Jogo dos 7 Erros) · curso.dev,rJZE93K6YwU,17
Git Commit (e a Escada Infinita) · curso.dev,hAFPRXCi1aE,18
Git Diff e Amend (e a Viagem no Tempo) · curso.dev,8XmqhLNq_lU,19
🚗 Pista Rápida Dia 6 · curso.dev,qbxEgdDnPnk,20
Git Push · curso.dev,feK9EO1EfiI,21
Fazendo commits de forma mais rápida · curso.dev,GN1RbdlvY5E,22
Git Push De Novo (mas agora com ainda mais força) · curso.dev,Gygw0lE0N9A,23
🚗 Pista Rápida Dia 7 · curso.dev,Cs7expQZ14o,24
Client e Server · curso.dev,avSO93Ou3jM,25
Hospedagem e Deploy · curso.dev,xuIYJosUQs8,26
Fazendo novos Deploys · curso.dev,OvgVhwSKync,27
Encerramento do Desafio (Resultados de todo mundo) 🎉 · curso.dev,miEXzLZVZfc,28
PITSTOP  Se você puder ajudar, eu agradeço muito 🤝 · curso.dev,ps6M2fHJBps,29
🚗 Pista Rápida Dia 8 · curso.dev,OK-ZrgkA4b8,30
Programação Orgânica versus Impressora 3D · curso.dev,XweF7SeuG9k,31
Por que meus projetos sempre dão certo · curso.dev,T-4ew_dtIrQ,32
🚗 Pista Rápida Dia 9 · curso.dev,EGWn9ytPQlQ,33
Qual o “segredo” para organização de tarefas · curso.dev,mgA2nEYrkzI,34
Como peitar projetos de qualquer tamanho · curso.dev,cucnOnvwauc,35
Criando a primeira Milestone e Issues do Projeto · curso.dev,em9aSMCgG7g,36
🚗 Pista Rápida Dia 10 · curso.dev,LQST7DyLR3E,37
Uma história macabra sobre Estilização de Código · curso.dev,kA6nOKX-W8Q,38
Sincronização das configurações do Editor · curso.dev,jQ8TSe-75uk,39
Configurar o EditorConfig · curso.dev,HABNpBqOQmk,40
Configurar o Prettier · curso.dev,IasndSnjeR4,41
🎁 Extra Configurar o Prettier Ignore · curso.dev,sV6lHQZMytM,42
🚗 Pista Rápida Dia 11 · curso.dev,ChE8tUC38Ag,43
Resolução de DNS (Desafio Nível 1) · curso.dev,cCTF3AhVT90,44
🚗 Pista Rápida Dia 12 · curso.dev,qAtXVIOBrew,45
Registrar um Domínio Próprio · curso.dev,r1YLf_-ABPM,46
Configurar o Servidor de DNS · curso.dev,kMsH2MWJdOw,47
🚗 Pista Rápida Dia 13 · curso.dev,32Enzy4W7pg,48
Página Em Construção e Encerramento da Milestone 0 · curso.dev,mwYg-9owkck,49
Não confie em nenhum serviço 🛑 · curso.dev,1fWFkSmRYRY,50
🚗 Pista Rápida Dia 14 · curso.dev,1KYytdueOPY,51
Inauguração Milestone 1 Fundação · curso.dev,08fiDD5LLIU,52
Uma história macabra sobre Overengineering · curso.dev,S2w6-khywkA,53
Proposta de Arquitetura e Pastas · curso.dev,1kc5oRdp72c,54
🚗 Pista Rápida Dia 15 · curso.dev,AyA1gNgf1Fc,55
Testes Automatizados um caminho sem volta · curso.dev,HJvvnyqV-SU,56
Instalar um Test Runner · curso.dev,0n5STIRVXkQ,57
Criar um Teste de Teste · curso.dev,zaccA61NiQI,58
Criar um Teste de Verdade · curso.dev,rEe0IxlEgOw,59
🚗 Pista Rápida Dia 16 · curso.dev,7eT0hT4Gmrs,60
A maior briga no universo dos Testes Automatizados · curso.dev,0xB3vZA71GU,61
Encostando a mão no Protocolo HTTP 🔥 · curso.dev,P_G4Nli48jc,62
Não é magia! (é Protocolo) · curso.dev,fJkbgxjBa00,63
Versionamento de API e Endpoint status · curso.dev,89gS4u1u4jM,1
🚗 Pista Rápida Dia 17 · curso.dev,ajgF6obYv44,2
Qual Banco de Dados escolher · curso.dev,blKylW6vV3M,3
Por que o Docker dominou o mundo · curso.dev,RU3AMUUy2ng,4
Subir Banco de Dados (Local) · curso.dev,0jup4mfDzkg,5
Se conectando no Banco de Dados (Local) · curso.dev,P3tj9E0nGiA,6
🚗 Pista Rápida Dia 18 · curso.dev,GLyX0-c3Ifc,7
Criar módulo database.js · curso.dev,S37tm0wzGmM,8
A importância das Variáveis de Ambiente · curso.dev,BmKDfKPtWw4,9
Variáveis de Ambiente no Código · curso.dev,WG0Des0LmL8,10
Variáveis de Ambiente no Docker Compose · curso.dev,b7FqIGBnq7E,11
🚗 Pista Rápida Dia 19 · curso.dev,CbVBxrZGAEc,12
Foi certo fazer o commit do .env · curso.dev,B5UnmNkE_ag,13
Uma história macabra sobre Choque Elétrico e TDD · curso.dev,lOv5uhXqQAQ,14
Configurar o baseUrl para Absolute Imports · curso.dev,E8gzmeDSulo,15
Configurar scripts dos serviços · curso.dev,kPTfdn81Yd4,16
🚗 Pista Rápida Dia 20 · curso.dev,434Z-2hGO_A,17
Endpoint status ISO 8601 + Fuso + MVC + lowerCamelCase · curso.dev,PuNAkWbleTA,18
"Database Version (+ Red, Green e Refactor do TDD) · curso.dev",mVH_Aj4fT40,19
Database Max Connections · curso.dev,y8b3Bn9oBWI,20
Database Opened Connections · curso.dev,dC8NntLEOos,21
SQL Injection e Queries Parametrizadas · curso.dev,zzQ8voLb2D0,22
🚗 Pista Rápida Dia 21 · curso.dev,r5DWfJbrZkY,23
Investigando logs da Vercel em Produção · curso.dev,3V1P2yQIr3c,24
Banco de Produção no ElephantSQL (gratuito) · curso.dev,09_UjedUbno,25
Banco de Produção no Neon (gratuito) · curso.dev,f9lz_DEVOYc,26
Banco de Produção no DigitalOcean (pago) · curso.dev,5b2L6QytP44,27
🚗 Pista Rápida Dia 22 · curso.dev,qMqcgEEbIBY,28
Por que as Migrations existem · curso.dev,b6uicUgRIko,29
Migrations por Linha de Comando · curso.dev,ThrgM65p-1c,30
🚗 Pista Rápida Dia 23 · curso.dev,x_RfPoAeySk,31
Migrations pelo endpoint “migrations” (Dry Run) · curso.dev,JKgSIpyNvJw,32
Por que evitar a direção down · curso.dev,S2s2382LJyI,33
Migrations pelo endpoint migrations (Live Run   Início) · curso.dev,G7karelQBpw,34
🚗 Pista Rápida Dia 24 · curso.dev,gP7roYa39YY,35
Fazendo o Jest transpilar arquivos em ESM · curso.dev,156sq42xFlU,36
Limpando o Banco de Dados · curso.dev,2uXXftZL5CM,37
Expandindo testes e refatorando implementação · curso.dev,yhCndeygKdk,38
🚗 Pista Rápida Dia 25 · curso.dev,FlxATTa4oTg,39
Fazendo Deploy e rodando as Migrations em Produção 🎉 · curso.dev,Vraek-7ADIo,40
Grande lição + Puxão de orelha 💪 · curso.dev,u5Wrl0hBXaM,41
🚗 Pista Rápida Dia 26 · curso.dev,lFouKXaVHGU,42
Git Branch (3 níveis de compreensão) · curso.dev,mMYT9lW45Xg,43
Fazendo deploy em Homologação (Staging) · curso.dev,pvz3D0rB0To,44
Reproduzindo e corrigindo o Bug em Homologação · curso.dev,So-3jhYREdQ,45
🚗 Pista Rápida Dia 27 · curso.dev,eAV3KUsGxi0,46
Como nunca mais perder código com Git (Desafio Prova de Fogo 🔥) · curso.dev,KvF1cFIKscw,47
Git Merge (Fast Forward) · curso.dev,RC5W9xF_Uuc,48
🚗 Pista Rápida Dia 28 · curso.dev,wywqx9oul24,49
Nascimento e Morte do Movimento Ágil · curso.dev,91DpfSTVZfU,50
"Continuous Integration, Delivery e Deployment · curso.dev",uDajTiZEsMs,51
"Trunk Based Development, Feature Branch e Git Flow · curso.dev",x5tSCB5IP54,52
🚗 Pista Rápida Dia 29 · curso.dev,HGG3dTboQfI,53
Estabilizar npm run dev · curso.dev,2AaXfpB8-ck,54
Estabilizar npm test (Paralelismo) · curso.dev,uMrkWvkZY-4,55
Estabilizar npm test (Orquestrador) · curso.dev,O8sCcRDeeQg,56
🚗 Pista Rápida Dia 30 · curso.dev,ClAyJxSooOA,57
rafaelcorrea dev maxTimeout · curso.dev,TT5tNMaD-eQ,58
"FernandoWeber, aprendendofelipe, Ilopesr Windows · curso.dev",7re3dX-x2Eg,59
"andrecruzmendes, KleitonBarone, MarcosASFigueiredo status · curso.dev",Gn27O_d0wUE,60
🚗 Pista Rápida Dia 31 · curso.dev,aEno2TTexeY,61
Configurar Continuous Integration (com GitHub Actions) · curso.dev,N5LOTOqPgSU,62
Lint Code Style · curso.dev,x-SeUkLbbds,63
Lint Code Quality · curso.dev,XfptGYGD7_8,64
🚗 Pista Rápida Dia 32 · curso.dev,Kys0OaQ2guo,65
É verdade mesmo que commits bem feitos fazem diferença · curso.dev,ROf350zQpRQ,66
Como definir o escopo de um commit · curso.dev,vHGoTs9UYGU,67
Como definir a mensagem de um commit · curso.dev,mkYlaYDgnNc,68
🚗 Pista Rápida Dia 33 · curso.dev,xj2nND_iysI,69
Lint dos commits (Local) · curso.dev,gnRogtsNMgg,70
Lint dos commits (CI) · curso.dev,4NqlGWJsNVQ,71
Git Hooks para criação de commits (+ Desafio) · curso.dev,dWwzdr8L4pE,72
🚗 Pista Rápida Dia 34 · curso.dev,rkO85x43XxI,73
Uma história macabra sobre Tipo da Licença · curso.dev,ibti3suUv2U,74
Semantic Versioning · curso.dev,sNOjBHPn_Bo,75
Resolvendo conflito de Peer Dependencies · curso.dev,6gSgC3CgkLg,76
Finalizando atualizações · curso.dev,sI1ECTiWBDU,77
🚗 Pista Rápida Dia 35 · curso.dev,ZzOF8RuhLOs,78
Refatorando Scripts e Efeito Estilingue Infinito · curso.dev,3ItoPIawpOg,79
Refatorando Testes Automatizados · curso.dev,zaWUqZXCuyU,80
Encerramento da Milestone 1 🎉 · curso.dev,iMfHmr5JLPs,81
PITSTOP 2  📸 Tira uma selfie comigo · curso.dev,28lMldEnM10,82
Eu tenho uma dificuldade... me ajuda 🤝 · curso.dev,p7pim7tJ4SQ,83
🚗 Pista Rápida Dia 36 · curso.dev,_0fLkjJ2H80,84
Promessa importante daqui para frente 💪 · curso.dev,IYRLCqs6eYs,85
"Inauguração Milestone 2 Usuários, Autenticação e Autorização · curso.dev",XMftwV2Urio,86
🚗 Pista Rápida Dia 37 · curso.dev,fW_FH_q21y4,87
Um novo jeito de aprender React · curso.dev,OAmlCHQEhoU,88
Criando primeira versão da página status · curso.dev,hf3sHuc_-Ck,89
Minha versão do componente DatabaseStatus · curso.dev,XyJDytpeyGY,90
🚗 Pista Rápida Dia 38 · curso.dev,ZN4GVfjrSSg,91
O que é DE VERDADE um Erro no JavaScript · curso.dev,acxfxRPlb48,92
Padronização na Captura de Erros · curso.dev,vhtoMvCOEvA,93
Criando Erros Customizados · curso.dev,V1SLiGxwTo4,94
🚗 Pista Rápida Dia 39 · curso.dev,3qd0s7zLyYo,95
Deploy dos Erros Customizados · curso.dev,6GRWYTqQZCU,96
Padronizar Controllers (Abstração Nível 1) · curso.dev,QGaejdKIpUk,97
Ler códigos como o Neo do Matrix · curso.dev,EE4gw9jxvYg,98
Padronizar Controllers (Abstração Nível 2) · curso.dev,wSB8GMkrUdg,99
🚗 Pista Rápida Dia 40 · curso.dev,RkCkTpEOB34,100
O que é de fato um Model no MVC · curso.dev,3bchFTIdLoQ,101
Criar model user · curso.dev,cOlWRuIyDBU,105
